ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,COMUNA,longitud,latitud,PARTICIPANTES,VICTIMA,ACUSADO
2019-0017,1,2019-03-03,2019,3,3,07:00:00,7,MEXICO Y PICHINCHA,CALLE,MEXICO,3,-58.39914719,-34.61632317,AUTO-PASAJEROS,AUTO,PASAJEROS
2019-0018,1,2019-03-03,2019,3,3,23:30:00,23,"CANTILO, INT. Y UDAONDO, GUILLERMO AV.",AUTOPISTA,"CANTILO, INT.",13,-58.44927253,-34.54048625,PEATON-AUTO,PEATON,AUTO
2019-0019,1,2019-03-06,2019,3,6,12:00:00,12,DEL LIBERTADOR AV. 6326,AVENIDA,DEL LIBERTADOR AV.,13,-58.45049163,-34.55374003,MOTO-AUTO,MOTO,AUTO
2019-0020,1,2019-03-07,2019,3,7,21:01:00,21,CHICLANA AV. 3444,AVENIDA,CHICLANA AV.,5,-58.41288952,-34.63572989,MOTO-AUTO,MOTO,AUTO
2019-0021,1,2019-03-15,2019,3,15,22:50:00,22,BOYACA AV. Y YERBAL,AVENIDA,BOYACA AV.,7,-58.45743597,-34.62561234,MOTO-AUTO,MOTO,AUTO
2019-0022,1,2019-03-15,2019,3,15,1900-01-02 00:00:00,0,ENTRE RIOS AV. BAJO PUENTE AUTOPISTA (1260 APROX),AVENIDA,ENTRE RIOS AV.,1,-58.39123782,-34.62352245,AUTO-SD,AUTO,SD
2019-0023,1,2019-03-16,2019,3,16,08:28:00,8,"PAZ, GRAL. AV. Y JACQUES, AMADEO",GRAL PAZ,"PAZ, GRAL. AV.",9,-58.52922765,-34.63637963,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2019-0024,1,2019-03-19,2019,3,19,1900-01-14 07:12:00,7,ANTARTIDA ARGENTINA AV. 1325,AVENIDA,ANTARTIDA ARGENTINA AV.,1,-58.37208118,-34.58541957,MOTO-CARGAS,MOTO,CARGAS
2019-0025,1,2019-03-22,2019,3,22,13:10:00,13,"MITRE, BARTOLOME Y SANCHEZ DE BUSTAMANTE",CALLE,"MITRE, BARTOLOME",5,-58.41458534,-34.60937557,PEATON-AUTO,PEATON,AUTO
2019-0026,1,2019-03-28,2019,3,28,07:32:00,7,"FERNANDEZ DE LA CRUZ, F. , GRAL. AV. Y LARRAZABAL",AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47976785,-34.69153196,PEATON-PASAJEROS,PEATON,PASAJEROS
2019-0027,1,2019-03-28,2019,3,28,11:11:00,11,SANTA FE AV. Y AZCUENAGA,AVENIDA,SANTA FE AV.,2,-58.39990285,-34.59511714,MULTIPLE,BICICLETA,MULTIPLE
2019-0028,1,2019-04-06,2019,4,6,09:15:00,9,"JUSTO, JUAN B. AV. y OROÑO, NICASIO",AVENIDA,"JUSTO, JUAN B. AV.",11,-58.46051346,-34.60588536,PEATON-PASAJEROS,PEATON,PASAJEROS
2019-0029,1,2019-04-07,2019,4,7,10:15:00,10,"FERNANDEZ DE LA CRUZ, F. , GRAL. AV. Y LACARRA AV.",AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47976785,-34.69153196,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2019-0030,1,2019-04-09,2019,4,9,16:00:00,16,"ALVAREZ, DONATO, TTE. GRAL. Y YERBAL",CALLE,"ALVAREZ, DONATO, TTE. GRAL.",7,-58.45457546,-34.62447891,MOTO-CARGAS,MOTO,CARGAS
2019-0031,1,2019-04-12,2019,4,12,19:55:00,19,"CORDOBA AV. Y MADERO, EDUARDO AV.",AVENIDA,CORDOBA AV.,1,-58.36951669,-34.59832047,BICICLETA-CARGAS,BICICLETA,CARGAS
2019-0032,1,2019-04-16,2019,4,16,11:00:00,11,"CAMARONES Y ALVAREZ, DONATO, TTE. GRAL. AV.",AVENIDA,CAMARONES,11,-58.46415322,-34.60443790,PEATON-AUTO,PEATON,AUTO
2019-0033,1,2019-04-18,2019,4,18,01:00:00,1,"AUTOPISTA 25 DE MAYO Y HUERGO, ING. AV.",AUTOPISTA,AUTOPISTA 25 DE MAYO,1,-58.36607137,-34.62150748,MOTO-SD,MOTO,SD
2019-0034,1,2019-04-21,2019,4,21,09:08:00,9,"MORENO, PERITO AV. 3050",AVENIDA,"MORENO, PERITO AV.",7,-58.45537373,-34.65093074,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2019-0035,1,2019-04-23,2019,4,23,14:10:00,14,SUIPACHA 665,CALLE,SUIPACHA,1,-58.37942637,-34.60053054,PEATON-BICICLETA,PEATON,BICICLETA
2019-0036,1,2019-04-26,2019,4,26,22:46:00,22,RIGLOS Y FORMOSA,CALLE,RIGLOS,6,-58.43680440,-34.62147504,MOTO-AUTO,MOTO,AUTO
2019-0037,1,2019-05-01,2019,5,1,23:10:00,23,LA RIOJA E INDEPENDENCIA AV.,AVENIDA,LA RIOJA,3,-58.40778291,-34.61971907,MOTO-AUTO,MOTO,AUTO
2019-0038,1,2019-05-04,2019,5,4,14:10:00,14,"UDAONDO, GUILLERMO AV. Y FIGUEROA ALCORTA, PRES. AV.",AVENIDA,"UDAONDO, GUILLERMO AV.",13,-58.45212523,-34.54628513,PEATON-MOTO,PEATON,MOTO
2019-0039,1,2019-05-09,2019,5,9,03:05:00,3,SAN PEDRITO AV. Y DIRECTORIO AV.,AVENIDA,SAN PEDRITO AV.,7,-58.46749188,-34.63551751,MOTO-AUTO,MOTO,AUTO
2019-0040,1,2019-05-09,2019,5,9,12:45:00,12,PUAN Y SANTANDER,CALLE,PUAN,7,-58.44263580,-34.63679732,MOTO-SD,MOTO,SD
2019-0041,1,2019-05-11,2019,5,11,20:30:00,20,"ALBERDI, JUAN BAUTISTA AV. Y ANDALGALA",AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",9,-58.51140289,-34.65846419,MULTIPLE,AUTO,MULTIPLE
2019-0042,1,2019-05-14,2019,5,14,15:00:00,15,LIMA Y CONSTITUCION,CALLE,LIMA,1,-58.38211431,-34.62465368,PEATON-PASAJEROS,PEATON,PASAJEROS
2019-0043,1,2019-05-21,2019,5,21,09:00:00,9,"CORDOBA AV. Y MADERO, EDUARDO AV.",AVENIDA,CORDOBA AV.,1,-58.36951669,-34.59832047,BICICLETA-CARGAS,BICICLETA,CARGAS
2019-0044,1,2019-05-27,2019,5,27,12:45:00,12,BOEDO AV. 650,AVENIDA,BOEDO AV.,5,-58.41635217,-34.62036547,PEATON-MOTO,PEATON,MOTO
2019-0045,1,2019-06-03,2019,6,3,07:27:00,7,DEL LIBERTADOR AV. Y REPUBLICA DE LA INDIA,AVENIDA,DEL LIBERTADOR AV.,14,-58.41316147,-34.57579669,MOTO-CARGAS,MOTO,CARGAS
2019-0046,1,2019-06-04,2019,6,4,09:00:00,9,GRAL PAZ Y CABILDO,GRAL PAZ,"PAZ, GRAL. AV.",13,-58.47617802,-34.53825652,MOTO-AUTO,MOTO,AUTO
2019-0047,1,2019-06-06,2019,6,6,10:00:00,10,CASEROS AV. 1700,AVENIDA,CASEROS AV.,4,-58.38641783,-34.63330028,PEATON-CARGAS,PEATON,CARGAS
2019-0048,1,2019-06-07,2019,6,7,07:00:00,7,AVELLANEDA AV. 1548,AVENIDA,AVELLANEDA AV.,6,-58.45322169,-34.62038137,MOTO-CARGAS,MOTO,CARGAS
2019-0049,1,2019-06-08,2019,6,8,09:20:00,9,CIUDAD DE LA PAZ Y MENDOZA,CALLE,CIUDAD DE LA PAZ,13,-58.45849057,-34.56166498,PEATON-CARGAS,PEATON,CARGAS
2019-0050,1,2019-06-08,2019,6,8,23:35:00,23,"SALGUERO, JERONIMO Y HONDURAS AV.",AVENIDA,"SALGUERO, JERONIMO",14,-58.41829559,-34.59411677,MOTO-CARGAS,MOTO,CARGAS
2019-0051,1,2019-06-11,2019,6,11,10:00:00,10,"FILIBERTO, JUAN DE DIOS Y OLAVARRIA",CALLE,"FILIBERTO, JUAN DE DIOS",4,-58.36376488,-34.63832093,MOTO-AUTO,MOTO,AUTO
2019-0053,1,2019-06-14,2019,6,14,17:20:00,17,ASTURIAS AV. Y CASTAÑARES AV.,AVENIDA,ASTURIAS AV.,8,-58.46442668,-34.66004784,AUTO-AUTO,AUTO,AUTO
2019-0054,1,2019-06-20,2019,6,20,03:00:00,3,GANDARA 2976,CALLE,GANDARA,15,-58.48222035,-34.58428769,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2019-0055,1,2019-06-20,2019,6,20,19:45:00,19,"GUEVARA, TRINIDAD Y MADERO, EDUARDO AV.",AVENIDA,"GUEVARA, TRINIDAD",1,-58.36819005,-34.60283208,MOTO-PASAJEROS,MOTO,PASAJEROS
2019-0056,1,2019-06-29,2019,6,29,17:16:00,17,BOYACA AV. 305,AVENIDA,BOYACA AV.,7,-58.45877601,-34.62330939,PEATON-AUTO,PEATON,AUTO
2019-0057,1,2019-07-05,2019,7,5,19:00:00,19,ARTILLEROS Y LA PAMPA,CALLE,ARTILLEROS,13,-58.44196498,-34.55760517,PEATON-AUTO,PEATON,AUTO
2019-0058,1,2019-07-10,2019,7,10,09:20:00,9,AUTOPISTA PERITO MORENO ALTURA PASO A NIVEL DE IRIGOYEN,AUTOPISTA,AUTOPISTA PERITO MORENO,10,-58.50622631,-34.63627822,MOTO-PASAJEROS,MOTO,PASAJEROS
2019-0059,1,2019-07-13,2019,7,13,22:35:00,22,15 DE NOVIEMBRE DE 1889 Y SANTIAGO DEL ESTERO,CALLE,15 DE NOVIEMBRE DE 1889,1,-58.38410880,-34.63099197,MOTO-PASAJEROS,MOTO,PASAJEROS
2019-0060,1,2019-07-17,2019,7,17,11:20:00,11,"ACOSTA, MARIANO AV. Y FALCON, RAMON L., CNEL.",AVENIDA,"ACOSTA, MARIANO AV.",10,-58.48100602,-34.63504312,PEATON-AUTO,PEATON,AUTO
2019-0061,1,2019-07-17,2019,7,17,18:40:00,18,11 DE SEPTIEMBRE DE 1888 Y MENDOZA,CALLE,11 DE SEPTIEMBRE DE 1888,13,-58.45200171,-34.55781320,PEATON-PASAJEROS,PEATON,PASAJEROS
2019-0062,1,2019-08-01,2019,8,1,23:00:00,23,"PINO, VIRREY DEL Y CAMPOS, LUIS M. AV.",AVENIDA,"PINO, VIRREY DEL",13,-58.44462132,-34.56201105,PEATON-PASAJEROS,PEATON,PASAJEROS
2019-0063,1,2019-08-04,2019,8,4,01:30:00,1,FOREST AV. Y MAURE,AVENIDA,FOREST AV.,15,-58.45220688,-34.58711712,MOTO-PASAJEROS,MOTO,PASAJEROS
2019-0064,1,2019-08-06,2019,8,6,03:15:00,3,"BOYACA AV. Y AVELLANEDA AV,",AVENIDA,BOYACA AV.,7,-58.45962210,-34.62245140,MOTO-AUTO,MOTO,AUTO
2019-0065,1,2019-08-08,2019,8,8,16:45:00,16,BARCO CENTENERA DEL Y TILCARA,CALLE,BARCO CENTENERA DEL,4,-58.41970850,-34.65414867,PEATON-PASAJEROS,PEATON,PASAJEROS
2019-0066,1,2019-08-11,2019,8,11,21:15:00,21,RIESTRA AV. Y BOLIVAR,AVENIDA,RIESTRA AV.,7,-58.44187596,-34.64938031,PEATON-AUTO,PEATON,AUTO
2019-0067,1,2019-08-14,2019,8,14,15:00:00,15,"CASTRO, EMILIO 4706",CALLE,"CASTRO, EMILIO",10,-58.49101637,-34.64276621,MOTO-CARGAS,MOTO,CARGAS
2019-0068,1,2019-08-14,2019,8,14,17:40:00,17,27 DE FEBRERO AV. 5600,AVENIDA,27 DE FEBRERO AV.,8,-58.42493829,-34.66256502,MOTO-MOTO,MOTO,MOTO
2019-0069,1,2019-08-17,2019,8,17,05:25:00,5,"GARAY, JUAN DE AV. 2874",AVENIDA,"GARAY, JUAN DE AV.",4,-58.40489318,-34.62930162,MOTO-AUTO,MOTO,AUTO
2019-0070,1,2019-08-22,2019,8,22,12:30:00,12,"SCALABRINI ORTIZ, RAUL AV. y GORRITI",AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",14,-58.42686680,-34.59217875,MOTO-BICICLETA,MOTO,BICICLETA
2019-0071,1,2019-08-27,2019,8,27,11:30:00,11,PRIMERA JUNTA Y OLIVERA AV.,AVENIDA,PRIMERA JUNTA,9,-58.47961100,-34.65620398,PEATON-CARGAS,PEATON,CARGAS
2019-0072,1,2019-08-28,2019,8,28,06:20:00,6,"ALBERDI, JUAN BAUTISTA AV. Y AZUL",AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",10,-58.47439934,-34.63524207,AUTO-AUTO,AUTO,AUTO
2019-0073,1,2019-08-29,2019,8,29,01:50:00,1,ALVAREZ THOMAS AV. 1788,AVENIDA,ALVAREZ THOMAS AV.,15,-58.46711912,-34.57926018,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2019-0074,1,2019-08-29,2019,8,29,09:00:00,9,"LUGONES, LEOPOLDO AV. Y PAZ, GRAL. AV.",AUTOPISTA,"LUGONES, LEOPOLDO AV.",13,-58.46514781,-34.53465378,MOTO-CARGAS,MOTO,CARGAS
2019-0075,1,2019-08-30,2019,8,30,23:20:00,23,SAN ANTONIO Y LUJAN,CALLE,SAN ANTONIO,4,-58.37571078,-34.65584079,MOTO-PASAJEROS,MOTO,PASAJEROS
2019-0076,1,2019-09-05,2019,9,5,18:00:00,18,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI ALTURA DON PEDRO DE MENDOZA AV.,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,-58.37157668,-34.65429986,MOTO-CARGAS,MOTO,CARGAS
2019-0077,1,2019-09-08,2019,9,8,03:40:00,3,"FIGUEROA ALCORTA, PRES. AV. Y TAGLE",AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",14,-58.39811256,-34.58070186,PEATON-AUTO,PEATON,AUTO
2019-0078,1,2019-09-12,2019,9,12,08:25:00,8,"EINSTEIN, ALBERTO Y ALCORTA, AMANCIO AV.",AVENIDA,"EINSTEIN, ALBERTO",4,-58.41125934,-34.65417740,PEATON-CARGAS,PEATON,CARGAS
2019-0079,1,2019-09-17,2019,9,17,05:30:00,5,AGRELO Y COLOMBRES,CALLE,AGRELO,5,-58.41822901,-34.61866836,MOTO-PASAJEROS,MOTO,PASAJEROS
2019-0080,1,2019-09-17,2019,9,17,1900-01-04 18:40:00,18,"CABILDO AV. y PAZ, GRAL. AV.",GRAL PAZ,CABILDO AV.,13,-58.47617802,-34.53825652,PEATON-MOTO,PEATON,MOTO
2019-0081,1,2019-09-23,2019,9,23,16:00:00,16,ELCANO AV. 4300,AVENIDA,ELCANO AV.,15,-58.46141281,-34.58623761,PEATON-PASAJEROS,PEATON,PASAJEROS
2019-0082,1,2019-09-25,2019,9,25,07:45:00,7,"RABANAL, FRANCISCO, INTENDENTE AV. 2428",AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",8,-58.42985146,-34.66119740,BICICLETA-CARGAS,BICICLETA,CARGAS
2019-0083,1,2019-09-26,2019,9,26,08:00:00,8,MONTE Y CORVALAN,CALLE,MONTE,9,-58.48457413,-34.65839090,AUTO-AUTO,AUTO,AUTO
2019-0084,1,2019-09-27,2019,9,27,11:45:00,11,TANDIL Y LA FUENTE,CALLE,TANDIL,7,-58.46572884,-34.63628186,BICICLETA-CARGAS,BICICLETA,CARGAS
2019-0085,1,2019-10-09,2019,10,9,22:18:00,22,CARDOSO Y BACACAY,CALLE,CARDOSO,10,-58.49261744,-34.63419130,BICICLETA-TREN,BICICLETA,TREN
2019-0086,1,2019-10-15,2019,10,15,14:10:00,14,CORRIENTES AV. 6700,AVENIDA,CORRIENTES AV.,15,-58.45283186,-34.58841560,MOTO-PASAJEROS,MOTO,PASAJEROS
2019-0087,1,2019-10-21,2019,10,21,21:00:00,21,ALVAREZ THOMAS AV. Y MENDOZA,AVENIDA,ALVAREZ THOMAS AV.,12,-58.47973681,-34.57418656,MOTO-MOTO,MOTO,MOTO
2019-0088,1,2019-10-22,2019,10,22,20:00:00,20,"ALCORTA, AMANCIO AV. Y BONAVENA, OSCAR NATALIO",AVENIDA,"ALCORTA, AMANCIO AV.",4,-58.40623949,-34.65076549,PEATON-PASAJEROS,PEATON,PASAJEROS
2019-0089,1,2019-10-23,2019,10,23,15:45:00,15,"BROWN, ALTE. AV. Y BLANES, JUAN MANUEL",AVENIDA,"BROWN, ALTE. AV.",4,-58.36244648,-34.63107887,PEATON-CARGAS,PEATON,CARGAS
2019-0090,1,2019-10-24,2019,10,24,18:26:00,18,"ALBERDI, JUAN BAUTISTA AV. 5455",AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",9,-58.49962423,-34.64868027,PEATON-MOTO,PEATON,MOTO
2019-0091,1,2019-11-01,2019,11,1,20:50:00,20,"JUSTO, JUAN B. AV. Y CAMARGO",AVENIDA,"JUSTO, JUAN B. AV.",15,-58.44551437,-34.59559816,PEATON-PASAJEROS,PEATON,PASAJEROS
2019-0092,1,2019-11-03,2019,11,3,10:30:00,10,"BRIN, MINISTRO Y SUAREZ",CALLE,"BRIN, MINISTRO",4,-58.35608181,-34.63420319,PEATON-PASAJEROS,PEATON,PASAJEROS
2019-0093,1,2019-11-13,2019,11,13,11:50:00,11,"NIZA Y JUSTO, JUAN B. AV.",AVENIDA,NIZA,11,-58.46483679,-34.60907662,BICICLETA-OTRO,BICICLETA,OTRO
2019-0094,1,2019-11-18,2019,11,18,14:00:00,14,CAMARGO Y SERRANO,CALLE,CAMARGO,15,-58.44368628,-34.59724326,MOTO-OTRO,MOTO,OTRO
2019-0095,1,2019-11-20,2019,11,20,15:30:00,15,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI ALTURA CASEROS AV.,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,-58.37864583,-34.62907067,MOTO-CARGAS,MOTO,CARGAS
2019-0096,1,2019-11-22,2019,11,22,19:33:00,19,CASEROS AV. Y PIEDRAS,AVENIDA,CASEROS AV.,1,-58.37560352,-34.62726382,PEATON-PASAJEROS,PEATON,PASAJEROS
2019-0097,1,2019-11-25,2019,11,25,08:50:00,8,"AUTOPISTA PERITO MORENO KM 5,6",AUTOPISTA,AUTOPISTA PERITO MORENO,9,-58.47721439,-34.64815069,MULTIPLE,MOTO,MULTIPLE
2019-0098,1,2019-11-25,2019,11,25,14:00:00,14,GUZMAN 365,AVENIDA,GUZMAN,15,-58.45134029,-34.58984288,PASAJEROS-PASAJEROS,PASAJEROS,PASAJEROS
2019-0100,1,2019-12-05,2019,12,5,17:30:00,17,de los constituyentes av. 4300,AVENIDA,DE LOS CONSTITUYENTES AV.,12,-58.49040794,-34.58368803,MOTO-AUTO,MOTO,AUTO
2019-0101,1,2019-12-17,2019,12,17,04:20:00,4,"MORENO, PERITO AV. Y TILCARA AV.",AVENIDA,"MORENO, PERITO AV.",4,-58.42102679,-34.64991178,MOTO-MOTO,MOTO,MOTO
2019-0102,1,2019-12-17,2019,12,17,14:30:00,14,"IBARROLA Y GORDILLO, TIMOTEO",CALLE,IBARROLA,9,-58.52219407,-34.64143926,MOTO-AUTO,MOTO,AUTO
2019-0103,1,2019-12-18,2019,12,18,SD,SD,"PAZ, GRAL. AV. Y GRIVEO",GRAL PAZ,"PAZ, GRAL. AV.",11,-58.52169422,-34.59471640,MOTO-MOTO,MOTO,MOTO
2019-0104,1,2019-12-21,2019,12,21,04:25:00,4,RIVADAVIA AV. Y PERGAMINO,AVENIDA,RIVADAVIA AV.,10,-58.47460416,-34.63206174,MOTO-AUTO,MOTO,AUTO
2019-0105,1,2019-05-05,2019,5,5,11:00:00,11,SANTO TOME Y SEGUROLA AV.,AVENIDA,SANTO TOME,10,-58.50512382,-34.61520391,PEATON-AUTO,PEATON,AUTO
2020-0001,1,2020-01-04,2020,1,4,10:40:00,10,URIARTE Y LOYOLA,CALLE,URIARTE,15,-58.43910409,-34.59213355,PEATON-AUTO,PEATON,AUTO
2020-0002,1,2020-01-05,2020,1,5,20:00:00,20,SARAZA Y VARELA AV.,AVENIDA,SARAZA,7,-58.45019436,-34.64646409,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2020-0003,1,2020-01-11,2020,1,11,06:00:00,6,RIVADAVIA AV. Y COMBATE DE LOS POZOS,AVENIDA,RIVADAVIA AV.,3,-58.39337644,-34.60927582,PEATON-AUTO,PEATON,AUTO
2020-0004,1,2020-01-14,2020,1,14,21:40:00,21,RODRIGUEZ PEÑA Y RIVADAVIA AV.,AVENIDA,RODRIGUEZ PE?A,1,-58.39055614,-34.60919284,PEATON-PASAJEROS,PEATON,PASAJEROS
2020-0005,1,2020-01-14,2020,1,14,06:00:00,6,24 DE NOVIEMBRE Y SAN JUAN AV.,AVENIDA,24 DE NOVIEMBRE,3,-58.41036975,-34.62477021,MOTO-PASAJEROS,MOTO,PASAJEROS
2020-0006,1,2020-01-20,2020,1,20,12:55:00,12,LAFUENTE AV. 2250,AVENIDA,LAFUENTE AV.,8,-58.44925765,-34.65412546,MOTO-CARGAS,MOTO,CARGAS
2020-0007,1,2020-01-27,2020,1,27,00:37:00,0,CHILE Y LIMA ,CALLE,CHILE,1,-58.38156850,-34.61648696,PEATON-MOTO,PEATON,MOTO
2020-0008,1,2020-01-30,2020,1,30,07:10:00,7,CORDOBA AV. Y JEAN JAURES,AVENIDA,CORDOBA AV.,2,-58.40662899,-34.59804521,MOTO-CARGAS,MOTO,CARGAS
2020-0009,1,2020-02-04,2020,2,4,14:50:00,14,"PERON, JUAN DOMINGO, TTE. GENERAL Y SALGUERO, JERONIMO",CALLE,"PERON, JUAN DOMINGO, TTE. GENERAL",5,-58.41985649,-34.60600850,PEATON-AUTO,PEATON,AUTO
2020-0010,1,2020-02-08,2020,2,8,05:45:00,5,9 DE JULIO AV. Y SAN JUAN AV.,AVENIDA,9 DE JULIO AV.,1,-58.38099833,-34.62214953,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2020-0011,1,2020-02-12,2020,2,12,11:29:00,11,COLOMBRES 466,CALLE,COLOMBRES,5,-58.41803309,-34.61823178,MOTO-CARGAS,MOTO,CARGAS
2020-0012,1,2020-02-18,2020,2,18,21:00:00,21,MEXICO 2860,CALLE,MEXICO,3,-58.40604003,-34.61783553,PEATON-MOTO,PEATON,MOTO
2020-0013,1,2020-02-20,2020,2,20,12:00:00,12,COMBATIENTES DE MALVINAS AV. Y TRIUNVITARO AV.,AVENIDA,COMBATIENTES DE MALVINAS AV.,15,-58.47549929,-34.57994061,PEATON-MOTO,PEATON,MOTO
2020-0014,1,2020-02-27,2020,2,27,02:14:00,2,BERMUDEZ Y NOGOYA,CALLE,BERMUDEZ,11,-58.51398484,-34.61600366,MOTO-PASAJEROS,MOTO,PASAJEROS
2020-0015,1,2020-02-28,2020,2,28,14:30:00,14,BRASIL AV. Y PASEO COLON AV.,AVENIDA,BRASIL AV.,1,-58.36797542,-34.62519403,MOTO-PASAJEROS,MOTO,PASAJEROS
2020-0016,1,2020-02-29,2020,2,29,13:00:00,13,"ALEM,LEANDRO N. AV. 770",AVENIDA,"ALEM, LEANDRO N. AV.",1,-58.37133616,-34.59879316,PEATON-PASAJEROS,PEATON,PASAJEROS
2020-0017,1,2020-03-05,2020,3,5,23:00:00,23,BELGRANO AV. Y RINCON,AVENIDA,BELGRANO AV.,3,-58.39613805,-34.61413568,PEATON-AUTO,PEATON,AUTO
2020-0018,1,2020-03-09,2020,3,9,14:00:00,14,"UDAONDO, GUILLERMO AV. 901",AVENIDA,"UDAONDO, GUILLERMO AV.",13,-58.44903073,-34.54200276,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2020-0019,1,2020-03-10,2020,3,10,21:00:00,21,CONSTITUCION Y CASTRO,CALLE,CONSTITUCION,5,-58.41972364,-34.62846670,PEATON-AUTO,PEATON,AUTO
2020-0020,1,2020-03-13,2020,3,13,17:30:00,17,"PUEYRREDON AV. Y GOMEZ, VALENTIN",AVENIDA,PUEYRREDON AV.,3,-58.40571596,-34.60557123,PEATON-MOTO,PEATON,MOTO
2020-0021,1,2020-03-14,2020,3,14,16:50:00,16,"BRAVO, MARIO 1279",CALLE,"BRAVO, MARIO",2,-58.41451590,-34.59488319,PEATON-AUTO,PEATON,AUTO
2020-0022,1,2020-04-07,2020,4,7,06:15:00,6,"DELLEPIANE, LUIS, TTE. GRAL. Y ESCALADA AV.",AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,9,-58.47297505,-34.66245085,AUTO-CARGAS,AUTO,CARGAS
2020-0023,1,2020-04-09,2020,4,9,18:42:00,18,"ARAOZ DE LAMADRID, GREGORIO, GRAL. Y BROWN, ALTE. AV.",AVENIDA,"ARAOZ DE LAMADRID, GREGORIO, GRAL.",4,-58.35791192,-34.63695178,AUTO-CARGAS,AUTO,CARGAS
2020-0024,1,2020-04-24,2020,4,24,07:58:00,7,MURGUIONDO 1339,CALLE,MURGUIONDO,9,-58.50801713,-34.65177305,AUTO-AUTO,AUTO,AUTO
2020-0025,1,2020-05-12,2020,5,12,05:35:00,5,RIVADAVIA AV. 2551,AVENIDA,RIVADAVIA AV.,3,-58.40258477,-34.60975108,PEATON-AUTO,PEATON,AUTO
2020-0027,1,2020-05-18,2020,5,18,08:00:00,8,"DELLEPIANE, LUIS, TTE. GRAL. Y MONTIEL",AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",8,-58.48267426,-34.68454456,PEATON-CARGAS,PEATON,CARGAS
2020-0028,1,2020-05-19,2020,5,19,10:00:00,10,"SCALABRINI ORTIZ, RAUL AV. Y WARNES AV.",AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",15,-58.44248936,-34.60221948,PEATON-PASAJEROS,PEATON,PASAJEROS
2020-0029,1,2020-06-10,2020,6,10,14:00:00,14,"PAZ, GRAL. AV. y ROFFO, ANGEL H., DR.",GRAL PAZ,"PAZ, GRAL. AV.",9,-58.52909134,-34.63886726,PEATON-PASAJEROS,PEATON,PASAJEROS
2020-0030,1,2020-06-16,2020,6,16,15:00:00,15,SAN MARTIN AV. 1550,AVENIDA,SAN MARTIN AV.,6,-58.45158942,-34.60646580,MULTIPLE,MOTO,MULTIPLE
2020-0031,1,2020-06-30,2020,6,30,08:00:00,8,"GARZON, EUGENIO, GRAL. AV. y LARRAYA",AVENIDA,"GARZON, EUGENIO, GRAL. AV.",9,-58.49344309,-34.65788529,MOTO-CARGAS,MOTO,CARGAS
2020-0032,1,2020-07-10,2020,7,10,23:00:00,23,CORRIENTES AV. Y SERRANO,AVENIDA,CORRIENTES AV.,15,-58.44259166,-34.59635137,MOTO-AUTO,MOTO,AUTO
2020-0033,1,2020-07-19,2020,7,19,06:25:00,6,"PAZ, GRAL. AV. Y DEL LIBERTADOR AV.",GRAL PAZ,"PAZ, GRAL. AV.",13,-58.46743471,-34.53476874,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2020-0034,1,2020-08-02,2020,8,2,03:20:00,3,"MITRE, BARTOLOME Y ANCHORENA, TOMAS MANUEL DE, DR.",CALLE,"MITRE, BARTOLOME",3,-58.41178158,-34.60922259,PEATON-AUTO,PEATON,AUTO
2020-0035,1,2020-08-04,2020,8,4,05:30:00,5,"AU 25 DE MAYO ALTURA PUMACAHUA Y RECUERO, CASIMIRO, TTE. CNEL.",AUTOPISTA,AUTOPISTA 25 DE MAYO,7,-58.45068621,-34.63638927,MOTO-PASAJEROS,MOTO,PASAJEROS
2020-0036,1,2020-08-07,2020,8,7,18:40:00,18,"SCALABRINI ORTIZ, RAUL AV. Y PARAGUAY",AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",14,-58.42016954,-34.58778790,PEATON-MOTO,PEATON,MOTO
