Id_hecho,n_victimas,fecha,hora,comuna,tipo_calle,longitud,latitud,victima,acusado,participantes,gravedad
LC-2021-0569641,1,2021-11-14,22:10:00,14,AVENIDA,-58.421490607180,-34.588613872505,SIN DATO,TAXI,SIN DATO - TAXI,GRAVE
LC-2021-0570690,1,2021-11-14,00:00:00,SIN DATO,SIN DATO,SIN DATO,SIN DATO,MOTO,OBJETO FIJO,MOTO - OBJETO FIJO,SIN DATO
LC-2021-0574695,2,2021-11-14,13:00:00,3,AVENIDA,-58.397517522223,-34.618461280097,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0575190,1,2021-11-14,23:20:00,1,AVENIDA,-58.382066363241,-34.591585527472,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0629068,1,2021-11-14,19:00:00,12,AVENIDA,-58.489166392339,-34.569229403708,MOTO,SIN DATO,MOTO - SIN DATO,SIN DATO
LC-2021-0568187,1,2021-11-15,08:34:00,9,CALLE,-58.501737598375,-34.648880938405,PEATON,AUTO,PEATON - AUTO,SIN DATO
LC-2021-0569759,2,2021-11-15,00:50:00,SIN DATO,SIN DATO,-58.3766284959468,-34.6400282887007,AUTO,AUTO,AUTO - AUTO,SIN DATO
LC-2021-0569809,1,2021-11-15,00:00:00,SIN DATO,SIN DATO,SIN DATO,SIN DATO,MOTO,TRANSPORTE PUBLICO,MOTO - TRANSPORTE PUBLICO,GRAVE
LC-2021-0569970,1,2021-11-15,07:30:00,9,CALLE,-58.521460357638,-34.649494117063,AUTO,AUTO,AUTO - AUTO,SIN DATO
LC-2021-0570277,1,2021-11-15,09:30:00,14,AVENIDA,-58.421779677694,-34.597734404132,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0570279,1,2021-11-15,10:20:00,14,AVENIDA,-58.423246998572,-34.571168288888,MOTO,SIN DATO,MOTO - SIN DATO,SIN DATO
LC-2021-0570362,1,2021-11-15,10:40:00,9,CALLE,-58.511402895149,-34.658464191508,MOTO,CAMIONETA,MOTO - CAMIONETA,SIN DATO
LC-2021-0570436,1,2021-11-15,11:40:00,4,AVENIDA,-58.416512816459,-34.651999918550,TRANSPORTE PUBLICO,SIN DATO,TRANSPORTE PUBLICO - SIN DATO,SIN DATO
LC-2021-0570771,1,2021-11-15,12:50:00,13,CALLE,-58.468219982947,-34.558428291516,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0570937,1,2021-11-15,12:50:00,2,AVENIDA,-58.391958886166,-34.595838259715,MOTO,CAMIONETA,MOTO - CAMIONETA,GRAVE
LC-2021-0571011,1,2021-11-15,15:00:00,9,GRAL PAZ,-58.518399307019,-34.662524884133,MOTO,CAMIONETA,MOTO - CAMIONETA,SIN DATO
LC-2021-0571285,1,2021-11-15,00:00:00,SIN DATO,SIN DATO,SIN DATO,SIN DATO,AUTO,SIN DATO,AUTO - SIN DATO,SIN DATO
LC-2021-0571426,1,2021-11-15,17:35:00,8,AVENIDA,-58.480456540406,-34.673381134268,CICLISTA,CAMIONETA,CICLISTA - CAMIONETA,GRAVE
LC-2021-0571717,1,2021-11-15,19:40:00,SIN DATO,SIN DATO,SIN DATO,SIN DATO,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0571870,1,2021-11-15,22:00:00,13,CALLE,-58.464616532312,-34.555045912461,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0572336,1,2021-11-16,09:00:00,15,AVENIDA,-58.447309371411,-34.597064162410,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0572472,1,2021-11-16,11:45:00,4,CALLE,-58.402716662144,-34.641600058555,CAMIONETA,AUTO,CAMIONETA - AUTO,SIN DATO
LC-2021-0572728,1,2021-11-16,12:45:00,4,CALLE,-58.378223055363,-34.646392441009,TRANSPORTE PUBLICO,TRANSPORTE PUBLICO,TRANSPORTE PUBLICO - TRANSPORTE PUBLICO,SIN DATO
LC-2021-0572765,1,2021-11-16,11:40:00,3,AVENIDA,-58.397477864270,-34.614205219068,MOTO,SIN DATO,MOTO - SIN DATO,SIN DATO
LC-2021-0572823,1,2021-11-16,12:30:00,13,AVENIDA,-58.452125234329,-34.546285130327,MOTO,TRANSPORTE PUBLICO,MOTO - TRANSPORTE PUBLICO,SIN DATO
LC-2021-0573138,1,2021-11-16,16:35:00,9,AVENIDA,-58.497765316658,-34.647507081366,PEATON,MOTO,PEATON - MOTO,GRAVE
LC-2021-0573426,1,2021-11-16,19:00:00,11,CALLE,-58.511283223984,-34.614183446141,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0573475,1,2021-11-16,18:25:00,5,AVENIDA,-58.412096435144,-34.624968065649,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0573492,1,2021-11-16,19:00:00,12,CALLE,-58.482378769702,-34.576565933922,PEATON,AUTO,PEATON - AUTO,SIN DATO
LC-2021-0573505,2,2021-11-16,08:45:00,5,CALLE,-58.414506072729,-34.631023273682,AUTO,AUTO,AUTO - AUTO,SIN DATO
LC-2021-0573596,1,2021-11-16,20:00:00,14,CALLE,-58.422497985568,-34.589274647414,PEATON,MOTO,PEATON - MOTO,SIN DATO
LC-2021-0573603,1,2021-11-16,21:10:00,9,CALLE,-58.513249264118,-34.652324607732,AUTO,TRANSPORTE PUBLICO,AUTO - TRANSPORTE PUBLICO,SIN DATO
LC-2021-0585069,1,2021-11-16,11:15:00,12,CALLE,-58.484329533639,-34.568851874285,AUTO,AUTO,AUTO - AUTO,SIN DATO
LC-2021-0573715,1,2021-11-17,00:30:00,14,AVENIDA,-58.424989611008,-34.574556239745,MOTO,OBJETO FIJO,MOTO - OBJETO FIJO,SIN DATO
LC-2021-0574011,1,2021-11-17,09:00:00,9,CALLE,-58.503615889517,-34.648684344515,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0574027,1,2021-11-17,08:00:00,4,AVENIDA,-58.364840425320,-34.629468410223,MOTO,TAXI,MOTO - TAXI,SIN DATO
LC-2021-0574037,1,2021-11-17,08:10:00,11,AVENIDA,-58.499542279080,-34.598281587485,PEATON,TRANSPORTE PUBLICO,PEATON - TRANSPORTE PUBLICO,SIN DATO
LC-2021-0574085,2,2021-11-17,09:00:00,4,CALLE,-58.397262713433,-34.644573112896,MOTO,CAMIONETA,MOTO - CAMIONETA,SIN DATO
LC-2021-0574284,1,2021-11-17,11:50:00,4,CALLE,-58.390786226195,-34.630516966208,TRANSPORTE PUBLICO,TRANSPORTE PUBLICO,TRANSPORTE PUBLICO - TRANSPORTE PUBLICO,SIN DATO
LC-2021-0574455,1,2021-11-17,10:57:00,5,AVENIDA,-58.429348459220,-34.599317615437,MOTO,TAXI,MOTO - TAXI,SIN DATO
LC-2021-0574686,1,2021-11-17,13:30:00,10,GRAL PAZ,-58.529886910113,-34.614359313101,MOTO,SIN DATO,MOTO - SIN DATO,SIN DATO
LC-2021-0574790,1,2021-11-17,12:40:00,1,CALLE,-58.389462618871,-34.603010687722,MOTO,TAXI,MOTO - TAXI,SIN DATO
LC-2021-0574824,1,2021-11-17,13:50:00,12,AVENIDA,-58.495385122705,-34.582076840223,MOTO,CAMIONETA,MOTO - CAMIONETA,SIN DATO
